RNA1 chromosome	Start of RNA1 first read	Start of RNA1 last read	RNA1 strand	RNA2 chromosome	Start of RNA2 last read	Start of RNA2 first read	RNA2 strand	interactions	other interactions of RNA1	other interactions of RNA2	total other interactions	odds ratio	Fisher's exact test p-value
NC_000913.3	507112	507284	+	NC_000913.3	1140711	1141181	+	12782	79539	141648	4818619	5.466770327983434	0.0
NC_000913.3	461308	461788	+	NC_000913.3	507161	507317	+	14892	27223	811375	4199098	2.8310753780776814	0.0
NC_000913.3	3707401	3707873	-	NC_000913.3	2942717	2942902	+	24757	7445	416384	4604002	36.768404536356066	0.0
NC_000913.3	1405608	1405812	-	NC_000913.3	507230	507289	+	10282	25749	815963	4200594	2.055689293374127	0.0
NC_000913.3	3266601	3267097	-	NC_000913.3	507225	507289	+	16404	12061	809841	4214282	7.077669456767561	0.0
NC_000913.3	1019708	1020195	-	NC_000913.3	2814824	2814881	+	11325	21107	22355	4997801	119.95434563389232	0.0
NC_000913.3	2003201	2003692	-	NC_000913.3	1622816	1622893	-	16717	74523	176521	4784827	6.080480133988976	0.0
NC_000913.3	2942617	2943036	+	NC_000913.3	686604	687088	-	24594	199317	62837	4765840	9.35855597708832	0.0
NC_000913.3	2867401	2867899	-	NC_000913.3	507226	507290	+	13747	42205	812498	4184138	1.6773655814729567	0.0
NC_000913.3	1140604	1141080	+	NC_000913.3	507226	507289	+	16170	26814	810075	4199529	3.1262504700415494	0.0
NC_000913.3	2942658	2942800	+	NC_000913.3	1622808	1622992	-	9991	132303	183258	4727036	1.9478936158007218	0.0
NC_000913.3	986602	987095	-	NC_000913.3	2313107	2313197	+	11114	23132	8085	5010257	297.7400027547529	0.0
NC_000913.3	1150403	1150900	+	NC_000913.3	507227	507290	+	10680	2716	815565	4223627	20.36425210322719	0.0
NC_000913.3	4425022	4425500	+	NC_000913.3	507215	507288	+	10071	16881	816174	4209462	3.0769345874188803	0.0
NC_000913.3	2166878	2167246	+	NC_000913.3	3350613	3350754	+	7131	38599	284934	4721924	3.0616045944103467	0.0
NC_000913.3	4085501	4085966	-	NC_000913.3	764704	765152	+	17261	6336	40985	4988006	331.5528853790436	0.0
NC_000913.3	507106	507267	+	NC_000913.3	2942801	2943143	+	8170	84151	384113	4576154	1.1566564946161804	3.1488906599589594e-27
NC_000913.3	1757382	1757660	+	NC_000913.3	2167134	2167202	+	7745	18740	452264	4573839	4.1796574438459935	0.0
NC_000913.3	507200	507257	+	NC_000913.3	1408878	1409250	+	6500	85821	107678	4852589	3.41323597939272	0.0
NC_000913.3	1405400	1405764	-	NC_000913.3	1140617	1141083	+	5965	30021	149646	4866956	6.462158422912194	0.0
NC_000913.3	20103	20584	-	NC_000913.3	2167134	2167202	+	7437	3422	452572	4589157	22.037534776943158	0.0
NC_000913.3	1915102	1915597	-	NC_000913.3	507226	507289	+	5768	2437	820477	4223906	12.184776177786016	0.0
NC_000913.3	764756	765111	+	NC_000913.3	4085406	4085900	-	9547	41007	2776	4999258	419.2711819813711	0.0
NC_000913.3	1409103	1409230	+	NC_000913.3	507227	507289	+	8539	35167	817706	4191176	1.2445444322089982	1.0117720196931181e-62
NC_000913.3	2942701	2943000	+	NC_000913.3	1141001	1141110	+	7377	150885	140465	4753861	1.654672586263524	0.0
NC_000913.3	2590755	2591035	-	NC_000913.3	3350608	3350698	+	5874	4349	286142	4756223	22.450454363999665	0.0
NC_000913.3	3350576	3350671	+	NC_000913.3	686636	687057	-	6639	67531	80792	4897626	5.9595949907850505	0.0
NC_000913.3	2303301	2303576	-	NC_000913.3	507226	507289	+	5896	9092	820349	4217251	3.3337178823942826	0.0
NC_000913.3	3888901	3889398	+	NC_000913.3	3350608	3350699	+	6122	14302	285894	4746270	7.10630675799678	0.0
NC_000913.3	780448	780890	+	NC_000913.3	507228	507317	+	11671	12404	814584	4213929	4.8674068616219195	0.0
NC_000913.3	2000204	2000700	-	NC_000913.3	2942717	2942902	+	6866	6304	434275	4605143	11.549571883327339	0.0
NC_000913.3	3980773	3981122	+	NC_000913.3	2942731	2942902	+	4641	510	436500	4610937	96.12720893470791	0.0
NC_000913.3	3350587	3350662	+	NC_000913.3	2590650	2590941	-	4579	69591	1476	4976942	221.86755040942083	0.0
NC_000913.3	2406302	2406799	-	NC_000913.3	1405655	1405722	-	4599	2616	81539	4963834	107.02310294809114	0.0
NC_000913.3	686801	686891	-	NC_000913.3	1141002	1141087	+	4099	86721	143717	4818051	1.5845899272067636	3.912047057590809e-149
NC_000913.3	4439412	4439895	+	NC_000913.3	1409157	1409250	+	8166	8247	105887	4930288	46.10446917229	0.0
NC_000913.3	2249684	2250097	+	NC_000913.3	2167140	2167201	+	3688	332	456321	4592247	111.7911985071384	0.0
NC_000913.3	3350576	3350667	+	NC_000913.3	2303002	2303500	-	6862	67308	5415	4973003	93.62768555965297	0.0
NC_000913.3	2174802	2175299	-	NC_000913.3	507229	507289	+	4220	4670	822025	4221673	4.640824396482103	0.0
NC_000913.3	758553	758998	+	NC_000913.3	4056425	4056791	-	5460	2528	15861	5028739	684.7690193644311	0.0
NC_000913.3	1622901	1622944	-	NC_000913.3	507226	507288	+	3447	14856	822798	4211487	1.1876312859406197	4.599531165774718e-12
NC_000913.3	4056453	4056891	-	NC_000913.3	507231	507289	+	5517	10766	820728	4215577	2.632124240009712	0.0
NC_000913.3	2867607	2868099	-	NC_000913.3	1622816	1622892	-	5896	48129	187342	4811221	3.1460874529477163	0.0
NC_000913.3	3982312	3982788	+	NC_000913.3	507226	507288	+	5843	7971	820402	4218372	3.76913108967352	0.0
NC_000913.3	20842	21207	-	NC_000913.3	2167135	2167202	+	5288	2927	454721	4589652	18.234903531708053	0.0
NC_000913.3	3350576	3350898	+	NC_000913.3	2351907	2352393	-	3555	70664	10445	4967924	23.928081907260932	0.0
NC_000913.3	3350576	3350667	+	NC_000913.3	3888602	3889100	+	3663	70507	13948	4964470	18.49122292217982	0.0
NC_000913.3	2729214	2729583	-	NC_000913.3	507228	507289	+	3361	5215	822884	4221128	3.3060095470504383	0.0
NC_000913.3	986801	986900	-	NC_000913.3	507227	507289	+	3150	12424	823095	4213919	1.2980317960447896	4.8464743897993044e-30
NC_000913.3	4218519	4218944	+	NC_000913.3	507228	507290	+	4550	7587	821695	4218756	3.0790381937965314	0.0
NC_000913.3	450101	450598	-	NC_000913.3	2167139	2167202	+	3690	1300	456319	4591279	28.559338650913404	0.0
NC_000913.3	655602	656024	-	NC_000913.3	2167137	2167202	+	3481	1061	456528	4591518	32.99723209774168	0.0
NC_000913.3	629834	630295	+	NC_000913.3	2942721	2942902	+	3620	5894	437521	4605553	6.46519041641239	0.0
NC_000913.3	696601	697099	-	NC_000913.3	507230	507289	+	6288	5988	819957	4220355	5.40491224693798	0.0
NC_000913.3	412302	412800	-	NC_000913.3	2167140	2167201	+	3134	612	456875	4591967	51.46937967686847	0.0
NC_000913.3	1821201	1821699	-	NC_000913.3	507226	507289	+	3161	686	823084	4225657	23.656498473075445	0.0
NC_000913.3	4368003	4368449	-	NC_000913.3	3350608	3350698	+	2991	6009	289025	4754563	8.188218167515615	0.0
NC_000913.3	3100301	3100753	-	NC_000913.3	2167135	2167202	+	3509	3631	456500	4588948	9.714701794785864	0.0
NC_000913.3	2166865	2167176	+	NC_000913.3	1141005	1141064	+	2592	43092	145224	4861680	2.0136608253404957	7.633215563888382e-206
NC_000913.3	629828	630296	+	NC_000913.3	3350608	3350698	+	2652	6862	289364	4753710	6.349082799991141	0.0
NC_000913.3	765002	765119	+	NC_000913.3	1141007	1141148	+	2634	43941	145208	4860805	2.0066123898981942	2.635045364046868e-207
NC_000913.3	2003201	2003677	-	NC_000913.3	2001910	2002400	-	6446	84794	54101	4907247	6.895373634161431	0.0
NC_000913.3	1158803	1159300	+	NC_000913.3	2167136	2167201	+	2650	1533	457359	4591046	17.352343397648713	0.0
NC_000913.3	1019704	1020187	-	NC_000913.3	2167136	2167201	+	5239	27193	454770	4565386	1.9340912973538567	0.0
NC_000913.3	1279205	1279552	+	NC_000913.3	507228	507288	+	4203	9877	822042	4216466	2.182674284267778	0.0
NC_000913.3	3049202	3049698	-	NC_000913.3	2167139	2167203	+	3577	10808	456432	4581771	3.3222392010881974	0.0
NC_000913.3	3561970	3562399	+	NC_000913.3	2167136	2167202	+	3589	6272	456420	4586307	5.74997378073666	0.0
NC_000913.3	1842305	1842794	+	NC_000913.3	2942722	2942902	+	2636	773	438505	4610674	35.85549963047001	0.0
NC_000913.3	2405101	2405482	-	NC_000913.3	507229	507288	+	4680	12115	821565	4214228	1.981520334999589	1.0348028123325388e-300
NC_000913.3	2737113	2737594	+	NC_000913.3	2942716	2943142	+	4190	14880	437024	4596494	2.9616415993934733	0.0
NC_000913.3	507201	507259	+	NC_000913.3	686638	686800	-	2885	89395	80857	4879451	1.947537936014591	4.37836201342852e-211
NC_000913.3	506989	507259	+	NC_000913.3	4218638	4218965	+	2124	90207	27015	4933242	4.29973530618611	0.0
NC_000913.3	3050302	3050799	-	NC_000913.3	1622817	1622875	-	2221	4790	191017	4854560	11.783950193942122	0.0
NC_000913.3	2312201	2312696	-	NC_000913.3	3350608	3350698	+	4048	14344	287968	4746228	4.651302598720921	0.0
NC_000913.3	4429722	4430199	+	NC_000913.3	2942717	2942903	+	2597	1525	438544	4609922	17.901215040052058	0.0
NC_000913.3	2002703	2003000	-	NC_000913.3	2167136	2167201	+	2997	12606	457012	4579973	2.38256498080179	0.0
NC_000913.3	3891005	3891495	+	NC_000913.3	4049921	4050009	+	3718	6335	23776	5018759	123.88545367125532	0.0
NC_000913.3	1622847	1623214	-	NC_000913.3	1140618	1141087	+	2642	30408	152969	4866569	2.7641678693329954	0.0
NC_000913.3	3453301	3453586	-	NC_000913.3	507238	507288	+	2177	7375	824068	4218968	1.5112613852913077	1.814864261318119e-52
NC_000913.3	4326403	4326805	-	NC_000913.3	764721	765150	+	2105	1786	56141	4992556	104.81258843689301	0.0
NC_000913.3	2975910	2976191	-	NC_000913.3	507234	507288	+	1860	3857	824385	4222486	2.470025532928091	5.122628404116635e-191
NC_000913.3	1972105	1972600	-	NC_000913.3	3350614	3350723	+	3247	5461	288818	4755062	9.789083652512025	0.0
NC_000913.3	3986430	3986616	+	NC_000913.3	3913310	3913800	-	3707	8012	3283	5037586	709.9589460615656	0.0
NC_000913.3	2970330	2970786	+	NC_000913.3	1622817	1622884	-	2147	1402	191091	4857948	38.93109861221761	0.0
NC_000913.3	2044538	2044600	+	NC_000913.3	1141005	1141067	+	1747	39550	146069	4865222	1.4712654043390245	8.192564352908278e-43
NC_000913.3	3532720	3533151	+	NC_000913.3	2814825	2814880	+	1836	1081	31844	5017827	267.6301587491565	0.0
NC_000913.3	765003	765099	+	NC_000913.3	1409201	1409250	+	1730	43218	101608	4906032	1.9327866247543608	8.237608090938512e-123
NC_000913.3	507202	507256	+	NC_000913.3	708126	708547	+	1700	90580	3754	4956554	24.780050025097246	0.0
NC_000913.3	3266904	3267095	-	NC_000913.3	2167135	2167201	+	2022	9888	457987	4582691	2.0461624835516488	8.690562090578454e-154
NC_000913.3	507202	507259	+	NC_000913.3	1491440	1491858	-	1622	90658	21742	4938566	4.063928764606319	0.0
NC_000913.3	2494979	2495335	-	NC_000913.3	2167143	2167201	+	2261	371	457748	4592208	61.13948104592772	0.0
NC_000913.3	1923506	1923963	-	NC_000913.3	1622817	1622868	-	1694	460	191544	4858890	93.41660696872464	0.0
NC_000913.3	461210	461700	+	NC_000913.3	1409155	1409581	+	2308	39200	111767	4899313	2.58090090207708	0.0
NC_000913.3	2044213	2044681	+	NC_000913.3	686638	686700	-	1594	40228	60420	4950346	3.2464947827834836	0.0
NC_000913.3	2470497	2470716	-	NC_000913.3	2167135	2167201	+	1789	1426	458220	4591153	12.570094420797643	0.0
NC_000913.3	2942693	2942862	+	NC_000913.3	3707418	3707843	-	4253	219366	4009	4824960	23.33370632141247	0.0
NC_000913.3	227002	227500	+	NC_000913.3	2167135	2167202	+	1595	2121	458414	4590458	7.530402060835596	0.0
NC_000913.3	3574520	3574939	-	NC_000913.3	1405656	1405711	-	1695	1365	84443	4965085	73.01298177208555	0.0
NC_000913.3	3888504	3888998	+	NC_000913.3	1622817	1622889	-	4390	44712	188848	4814638	2.503177653389006	0.0
NC_000913.3	1741201	1741689	+	NC_000913.3	2942683	2942902	+	1882	4887	439274	4606545	4.03847221569253	0.0
NC_000913.3	3935801	3936300	+	NC_000913.3	2167136	2167202	+	1775	1622	458234	4590957	10.963858523394434	0.0
NC_000913.3	2110604	2111098	-	NC_000913.3	2167135	2167201	+	2014	1439	457995	4591140	14.030025864085765	0.0
NC_000913.3	3986305	3986617	+	NC_000913.3	507233	507288	+	2504	9234	823741	4217109	1.3882529279236007	5.091120851441707e-38
NC_000913.3	2351701	2352192	-	NC_000913.3	2167133	2167295	+	4652	10694	455357	4581885	4.37715266245747	0.0
NC_000913.3	4049901	4049971	+	NC_000913.3	507231	507288	+	1474	5136	824771	4221207	1.4688442108716964	5.130150580847237e-29
NC_000913.3	4015814	4016213	-	NC_000913.3	2942711	2942902	+	1793	1099	439348	4610348	17.120153394976555	0.0
NC_000913.3	3852608	3853089	-	NC_000913.3	2942714	2942902	+	5536	5850	435605	4605597	10.005373209497312	0.0
NC_000913.3	2312801	2312849	-	NC_000913.3	507228	507288	+	1436	3124	824809	4223219	2.3536052623297046	4.291867021465801e-133
NC_000913.3	1719820	1720298	+	NC_000913.3	2167135	2167201	+	2280	1563	457729	4591016	14.631075342843925	0.0
NC_000913.3	225301	225799	+	NC_000913.3	507230	507289	+	3298	5981	822947	4220362	2.8278390442115184	0.0
NC_000913.3	986706	986900	-	NC_000913.3	3350662	3350698	+	2001	17773	290015	4742799	1.8411984751555568	1.5562602655780444e-118
NC_000913.3	1741197	1741563	+	NC_000913.3	4106346	4106555	+	1436	5176	55380	4990596	25.001129808215598	0.0
NC_000913.3	2413317	2413800	+	NC_000913.3	764840	765150	+	1958	2646	55846	4992138	66.1480975013649	0.0
NC_000913.3	4425204	4425698	+	NC_000913.3	3350608	3350699	+	3619	6954	288397	4753618	8.578027561747653	0.0
NC_000913.3	1288521	1288989	-	NC_000913.3	2942717	2942902	+	1838	1533	439303	4609914	12.581487968445371	0.0
NC_000913.3	4462924	4463395	-	NC_000913.3	507231	507288	+	1512	1517	824733	4224826	5.105774914576717	0.0
NC_000913.3	4425024	4425199	+	NC_000913.3	3350608	3350753	+	1543	18872	290522	4741651	1.3344384846645438	9.474454754670088e-19
NC_000913.3	1491431	1491882	-	NC_000913.3	507231	507289	+	2173	3617	824072	4222726	3.0784986092770446	0.0
NC_000913.3	778802	778900	+	NC_000913.3	507236	507288	+	1306	4039	824939	4222304	1.6549961452490551	1.4110743390151758e-44
NC_000913.3	2014510	2014987	+	NC_000913.3	3350621	3350698	+	1764	5209	290252	4755363	5.548207265849394	0.0
NC_000913.3	4425024	4425495	+	NC_000913.3	2814822	2814881	+	1324	25628	32356	4993280	7.972680548223628	0.0
NC_000913.3	1989103	1989510	-	NC_000913.3	2167137	2167201	+	2728	1046	457281	4591533	26.187089626616363	0.0
NC_000913.3	507004	507258	+	NC_000913.3	1279119	1279521	+	1792	90536	23817	4936443	4.102454494659359	0.0
NC_000913.3	2725419	2725862	-	NC_000913.3	2942718	2942902	+	2121	2747	439020	4608700	8.105431551827957	0.0
NC_000913.3	4175401	4175900	+	NC_000913.3	507228	507289	+	3073	2877	823172	4223466	5.480259342878062	0.0
NC_000913.3	2001938	2002100	-	NC_000913.3	507237	507288	+	1877	4313	824368	4222030	2.228871362328514	1.7122261563358221e-156
NC_000913.3	3576648	3577060	-	NC_000913.3	2167148	2167202	+	2000	197	458009	4592382	101.79530863518043	0.0
NC_000913.3	2003201	2003677	-	NC_000913.3	1405656	1405893	-	3408	87832	82731	4878617	2.2881013901993033	0.0
NC_000913.3	2355701	2356200	+	NC_000913.3	2942730	2942902	+	1847	1906	439294	4609541	10.16825455067795	0.0
NC_000913.3	3055852	3056243	+	NC_000913.3	507238	507288	+	1287	1350	824958	4224993	4.8824626950705365	0.0
NC_000913.3	1757382	1757626	+	NC_000913.3	1958439	1958641	-	1512	24973	6059	5020044	50.16347860673849	0.0
NC_000913.3	1666807	1667271	-	NC_000913.3	2167137	2167202	+	1678	1956	458331	4590623	8.592420089018724	0.0
NC_000913.3	3041210	3041683	+	NC_000913.3	1622817	1622887	-	1449	698	191789	4858652	52.5902290155575	0.0
NC_000913.3	4105925	4106359	+	NC_000913.3	1405656	1405719	-	1183	9586	84955	4956864	7.200545171476319	0.0
NC_000913.3	1278001	1278500	+	NC_000913.3	2167136	2167201	+	2723	5028	457286	4587551	5.433070896453094	0.0
NC_000913.3	3637610	3638098	+	NC_000913.3	1622817	1622889	-	2123	1900	191115	4857450	28.399451831840018	0.0
NC_000913.3	2352301	2352452	-	NC_000913.3	3350645	3350698	+	1499	5801	290517	4754771	4.229186349750813	0.0
NC_000913.3	3449902	3450400	-	NC_000913.3	2001910	2002297	-	2160	5965	55456	4989007	32.57683404200982	0.0
NC_000913.3	3452915	3453395	-	NC_000913.3	764704	765149	+	1701	25661	56545	4968681	5.824754740992659	0.0
NC_000913.3	2003201	2003677	-	NC_000913.3	1140701	1141180	+	4013	87227	150417	4810931	1.4714666694285288	1.0614146043765823e-103
NC_000913.3	3782615	3783070	-	NC_000913.3	3350633	3350698	+	1417	1553	290599	4759019	14.942446780889973	0.0
NC_000913.3	1646601	1646699	+	NC_000913.3	507239	507288	+	1090	4357	825155	4221986	1.280030126610455	1.1817766313492887e-05
NC_000913.3	4464628	4465100	-	NC_000913.3	1405656	1405721	-	1138	4779	85000	4961671	13.899983008997697	0.0
NC_000913.3	4400401	4400895	+	NC_000913.3	2167137	2167201	+	1593	1846	458416	4590733	8.64184249083934	0.0
NC_000913.3	3350624	3350658	+	NC_000913.3	1647047	1647093	-	1050	71628	226	4979684	322.9979896130005	0.0
NC_000913.3	507202	507317	+	NC_000913.3	2976100	2976166	-	1046	91250	18694	4941598	3.030149008618984	8.850584677971141e-188
NC_000913.3	1622861	1622915	-	NC_000913.3	4439447	4439886	+	1727	31284	3821	5015756	72.46518812499286	0.0
NC_000913.3	454351	454691	+	NC_000913.3	507228	507288	+	1275	1279	824970	4225064	5.10545880678979	0.0
NC_000913.3	4425023	4425497	+	NC_000913.3	1977207	1977543	-	1464	25488	15918	5009718	18.077155662885282	0.0
NC_000913.3	3453301	3453400	-	NC_000913.3	2167020	2167201	+	1042	7425	458983	4585138	1.40193239729667	1.3936804153446617e-15
NC_000913.3	4106122	4106559	+	NC_000913.3	461331	461785	+	1419	9559	14765	5026845	50.53962052984287	0.0
NC_000913.3	461303	461748	+	NC_000913.3	4106005	4106389	+	2282	39833	54817	4955656	5.179150266883457	0.0
NC_000913.3	1405701	1405772	-	NC_000913.3	1409201	1409250	+	1026	33967	102312	4915283	1.4511493873042773	2.070018212262925e-21
NC_000913.3	2709802	2710246	-	NC_000913.3	2167140	2167201	+	1281	1717	458728	4590862	7.4665129592810775	0.0
NC_000913.3	2737121	2737584	+	NC_000913.3	2001910	2002397	-	1374	17696	59173	4974345	6.527155179105347	0.0
NC_000913.3	2447217	2447672	-	NC_000913.3	2942716	2942902	+	2414	1532	438727	4609915	16.556824896092536	0.0
NC_000913.3	3350576	3350665	+	NC_000913.3	3888120	3888599	+	1031	73139	5758	4972660	12.173816536015648	0.0
NC_000913.3	1555301	1555749	-	NC_000913.3	1409151	1409250	+	2386	3212	111667	4935323	32.83111520274527	0.0
NC_000913.3	2817807	2817870	-	NC_000913.3	507236	507288	+	994	1319	825251	4225024	3.8581997616772132	6.999170888262046e-193
NC_000913.3	3100701	3101041	-	NC_000913.3	507238	507288	+	994	3873	825251	4222470	1.313165308171138	9.173270914382731e-07
NC_000913.3	228511	228990	+	NC_000913.3	225405	225861	+	2131	32065	4126	5014266	80.76633031290432	0.0
NC_000913.3	3423603	3423668	-	NC_000913.3	507229	507288	+	985	880	825260	4225463	5.731087854130819	5.496526138591926e-278
NC_000913.3	3888409	3888898	+	NC_000913.3	4049607	4050011	+	2607	76978	25242	4947761	6.638337956316494	0.0
NC_000913.3	2661825	2662300	-	NC_000913.3	1409157	1409250	+	1162	606	112891	4937929	83.87239120489278	0.0
NC_000913.3	1991711	1992183	-	NC_000913.3	506949	507288	+	3079	5196	823182	4221131	3.038599845990149	0.0
NC_000913.3	3889705	3890200	+	NC_000913.3	1409159	1409251	+	1251	12727	112802	4925808	4.292318552758194	0.0
NC_000913.3	507111	507256	+	NC_000913.3	4050001	4050009	+	973	91348	15751	4944516	3.3437165294849867	8.535322999831127e-202
NC_000913.3	2002801	2003000	-	NC_000913.3	2942801	2942902	+	1901	11355	390309	4649023	1.9941053902353663	1.6461564833652185e-137
NC_000913.3	461305	461787	+	NC_000913.3	2814754	2814881	+	2123	39992	31568	4978905	8.372663599971641	0.0
NC_000913.3	1129502	1130000	-	NC_000913.3	2942718	2942980	+	2595	5793	438546	4605654	4.704462250299122	0.0
NC_000913.3	1300904	1301400	+	NC_000913.3	2942684	2942902	+	2716	5685	438440	4605747	5.018676535830201	0.0
NC_000913.3	2942694	2942861	+	NC_000913.3	1300905	1301399	+	2698	220921	2574	4826395	22.899144876390135	0.0
NC_000913.3	399569	400000	+	NC_000913.3	2167145	2167201	+	1195	1258	458814	4591321	9.505790974397438	0.0
NC_000913.3	3921811	3922298	-	NC_000913.3	2167140	2167201	+	1320	721	458689	4591858	18.3277347374831	0.0
NC_000913.3	2724324	2724790	-	NC_000913.3	2167139	2167201	+	1727	1562	458282	4591017	11.076113800033696	0.0
NC_000913.3	3317909	3318375	-	NC_000913.3	2167146	2167201	+	1411	1013	458598	4591566	13.945890256955394	0.0
NC_000913.3	507202	507256	+	NC_000913.3	2313114	2313178	+	891	91389	18308	4942000	2.631755966153735	2.029393125094689e-125
NC_000913.3	2726256	2726275	-	NC_000913.3	225343	225773	+	1673	997	4774	5045144	1773.3396906261305	0.0
NC_000913.3	2942695	2942937	+	NC_000913.3	2737146	2737598	+	2470	221344	11666	4817108	4.607799894891452	0.0
NC_000913.3	2942695	2942913	+	NC_000913.3	3852514	3852994	-	3206	220608	2259	4826515	31.04986311804004	0.0
NC_000913.3	4425024	4425500	+	NC_000913.3	1649344	1649440	+	956	25996	4569	5021067	40.41347752171984	0.0
NC_000913.3	1646501	1646599	+	NC_000913.3	2167148	2167201	+	873	3613	459136	4588966	2.4150146843639395	2.2292298746703886e-93
NC_000913.3	3384001	3384497	-	NC_000913.3	2167136	2167202	+	1643	3517	458366	4589062	4.67710074400082	0.0
NC_000913.3	1757381	1757768	+	NC_000913.3	1622817	1622892	-	2358	24136	190880	4835214	2.474763929413958	4.434906666347383e-294
NC_000913.3	778821	779200	+	NC_000913.3	2814821	2814880	+	1172	8477	32508	5010431	21.309352971094317	0.0
NC_000913.3	1019509	1019800	-	NC_000913.3	2942716	2942900	+	1369	4132	396956	4650131	3.881199370457	4.68288460485e-313
NC_000913.3	2814800	2814851	+	NC_000913.3	1019818	1020158	-	949	13098	3727	5034814	97.87804015081373	0.0
NC_000913.3	1517047	1517421	-	NC_000913.3	1405657	1405720	-	1408	858	84730	4965592	96.17212079395486	0.0
NC_000913.3	2003301	2003400	-	NC_000913.3	3350641	3350698	+	821	10623	291195	4749949	1.2606688115513165	0.006163493334976673
NC_000913.3	1822368	1822580	+	NC_000913.3	2167139	2167201	+	843	1201	459166	4591378	7.018719621709393	0.0
NC_000913.3	2298707	2299171	-	NC_000913.3	1622816	1622884	-	1437	864	191801	4858486	42.130160549794375	0.0
NC_000913.3	3639983	3640358	+	NC_000913.3	4106315	4106388	+	877	4432	55874	4991405	17.677176080586943	0.0
NC_000913.3	507203	507257	+	NC_000913.3	4462642	4463100	-	849	91431	751	4959557	61.322121237263154	0.0
NC_000913.3	1409126	1409200	+	NC_000913.3	1405657	1405716	-	835	35312	85303	4931138	1.3669323171138215	2.436528372078218e-10
NC_000913.3	4496383	4496464	+	NC_000913.3	507233	507288	+	892	910	825353	4225433	5.018280670929174	7.636221366473629e-225
NC_000913.3	925908	925992	-	NC_000913.3	507228	507288	+	808	966	825437	4225377	4.281695379320137	1.5864837365133509e-174
NC_000913.3	847710	848200	-	NC_000913.3	1622816	1622885	-	1126	1526	192112	4857824	18.65825996434365	0.0
NC_000913.3	578515	578923	-	NC_000913.3	1140683	1141064	+	1170	7873	154441	4889104	4.7044870878461875	0.0
NC_000913.3	986602	987093	-	NC_000913.3	4218533	4218967	+	1004	33242	28186	4990156	5.347210027155382	0.0
NC_000913.3	3639937	3640387	+	NC_000913.3	3350664	3350699	+	1381	3928	290635	4756644	5.754067270426925	0.0
NC_000913.3	954008	954493	-	NC_000913.3	1405656	1405727	-	1039	3156	85099	4963294	19.20101105383693	0.0
NC_000913.3	4287301	4287797	+	NC_000913.3	4106353	4106389	+	896	912	55855	4994925	87.85775197998578	0.0
NC_000913.3	1901935	1902381	+	NC_000913.3	77390	77594	+	1560	910	6453	5043665	1339.8857674171481	0.0
